Name,Year,Latitude,Longitude,Country
 Mico University College,1836,17.9887648,-76.7870333,JM
 National Technical University of Athens,1836,37.9877159,23.7318586,GR
 Technische Universität Chemnitz,1836,50.8391848,12.9274917,DE
 University of London,1836,51.5229378,-0.1308206,GB
 Wesleyan College,1836,32.8745489,-83.7123998,US
 Athens School of Fine Arts,1837,37.962445,23.6892135,GR
 Cheyney University of Pennsylvania,1837,39.933361,-75.5294669,US
 Colby-Sawyer College,1837,43.4121488,-71.9779522,US
 Davidson College,1837,35.5008018,-80.8446725,US
 DePauw University,1837,39.6393943,-86.8628946,US
 Guilford College,1837,36.0917988,-79.8887399,US
 Knox College,1837,40.9433331,-90.3704499,US
 Marshall University,1837,38.4235252,-82.4264145,US
 Muskingum University,1837,40.0002942,-81.7390462,US
 National and Kapodistrian University of Athens,1837,37.968196,23.7786871,GR
 West Liberty University,1837,40.1639052,-80.600651,US
 Juntendo University,1838,35.7022782,139.7611065,JP
 Acadia University,1838,45.0885733,-64.366817,CA
 Duke University,1838,36.0014258,-78.9382286,US
 Greensboro College,1838,36.0710001,-79.8002632,US
 Judson College,1838,32.6306601,-87.3158296,US
 Université de Neuchâtel,1838,46.9938549,6.9387031,CH
 University of Westminster,1838,39.5603198,-76.9899576,US
 Virginia Commonwealth University,1838,37.5483122,-77.4526805,US
 Westfield State University,1838,42.1318254,-72.7941529,US
 Albany Medical College,1839,42.6532088,-73.7776623,US
 Erskine College,1839,34.3305278,-82.3905527,US
 Framingham State University,1839,42.2983747,-71.4370333,US
 Longwood University,1839,37.2971798,-78.3961973,US
 Loras College,1839,42.5030898,-90.6810607,US
 Mount Allison University,1839,45.8983184,-64.3731004,CA
 University of Missouri,1839,38.9403808,-92.3277375,US
 Virginia Military Institute,1839,37.79151,-79.435352,US
 Montanuniversität Leoben,1840,47.3847372,15.0930201,AT
 Saint Mary-of-the-Woods College,1840,39.5054713,-87.4638254,US
 Southwestern University,1840,30.6367076,-97.6625885,US
 St. Mary's College of Maryland,1840,38.1909255,-76.4290313,US
 Don State University of Agriculture,1840,47.520801,40.134305,RU
 Fordham University,1841,40.8620404,-73.8856987,US
 Manhattanville College,1841,41.032206,-73.715782,US
 O.O. Bogomolets National Medical University,1841,50.4428388,30.5152213,UA
 Queen's University,1841,44.2252795,-76.4951412,CA
 Samford University,1841,33.4647494,-86.793631,US
 Universidad de El Salvador,1841,13.7161024,-89.203469,SV
 Universität Mozarteum Salzburg,1841,47.8038789,13.0436663,AT
 University of South Wales,1841,51.5878872,-3.3245713,GB
 York St John University,1841,53.9649139,-1.0800959,GB
 All Hallows College,1842,53.3709715,-6.2490526,IE
